linguagem,timestamp,ambiente,num_servidores,num_clientes,num_mensagens,repeticao,tempo_execucao,total_mensagens,throughput,latencia_media
Go,2025-07-01T23:10:45.579190,kubernetes,2,10,1,1,0.04965472221374512,10,201.39071480359345,4.965472221374512
Go,2025-07-01T23:10:45.626135,kubernetes,2,10,1,2,0.045944929122924805,10,217.65187564540986,4.5944929122924805
Go,2025-07-01T23:10:45.670720,kubernetes,2,10,1,3,0.043584585189819336,10,229.43891645287107,4.358458518981934
Go,2025-07-01T23:10:45.716734,kubernetes,2,10,1,4,0.04501485824584961,10,222.14887238753005,4.501485824584961
Go,2025-07-01T23:10:45.759087,kubernetes,2,10,1,5,0.042353153228759766,10,236.10992895824185,4.235315322875977
Go,2025-07-01T23:10:45.802231,kubernetes,2,10,1,6,0.0421442985534668,10,237.28001991333176,4.21442985534668
Go,2025-07-01T23:10:45.857615,kubernetes,2,10,1,7,0.05438566207885742,10,183.8719915830082,5.438566207885742
Go,2025-07-01T23:10:45.900746,kubernetes,2,10,1,8,0.04213237762451172,10,237.34715588854434,4.213237762451172
Go,2025-07-01T23:10:45.942273,kubernetes,2,10,1,9,0.04152703285217285,10,240.8069951830609,4.152703285217285
Go,2025-07-01T23:10:45.988202,kubernetes,2,10,1,10,0.044928789138793945,10,222.5744381649818,4.4928789138793945
Go,2025-07-01T23:10:46.631876,kubernetes,2,10,10,1,0.6416716575622559,100,155.8429436947632,6.416716575622559
Go,2025-07-01T23:10:47.224857,kubernetes,2,10,10,2,0.5929813385009766,100,168.63937110195468,5.929813385009766
Go,2025-07-01T23:10:47.851754,kubernetes,2,10,10,3,0.6268966197967529,100,159.51593427385387,6.268966197967529
Go,2025-07-01T23:10:48.501840,kubernetes,2,10,10,4,0.6500864028930664,100,153.82570617532073,6.500864028930664
Go,2025-07-01T23:10:49.121731,kubernetes,2,10,10,5,0.6198909282684326,100,161.31870211318338,6.198909282684326
Go,2025-07-01T23:10:49.762784,kubernetes,2,10,10,6,0.6410524845123291,100,155.99346764262754,6.410524845123291
Go,2025-07-01T23:10:50.411797,kubernetes,2,10,10,7,0.6490128040313721,100,154.08016510436394,6.490128040313721
Go,2025-07-01T23:10:51.041596,kubernetes,2,10,10,8,0.6288018226623535,100,159.0326179027264,6.288018226623535
Go,2025-07-01T23:10:51.681939,kubernetes,2,10,10,9,0.6393425464630127,100,156.4106761754283,6.393425464630127
Go,2025-07-01T23:10:52.301038,kubernetes,2,10,10,10,0.6190986633300781,100,161.52514279728638,6.190986633300781
Go,2025-07-01T23:10:58.691187,kubernetes,2,10,100,1,6.388143301010132,1000,156.54000746067703,6.388143301010132
Go,2025-07-01T23:11:05.040856,kubernetes,2,10,100,2,6.349668741226196,1000,157.48853062323502,6.349668741226196
Go,2025-07-01T23:11:11.360792,kubernetes,2,10,100,3,6.319936513900757,1000,158.22943755850886,6.319936513900757
Go,2025-07-01T23:11:17.720521,kubernetes,2,10,100,4,6.359728813171387,1000,157.23940900261957,6.359728813171387
Go,2025-07-01T23:11:24.100206,kubernetes,2,10,100,5,6.379684686660767,1000,156.74755871413086,6.379684686660767
Go,2025-07-01T23:11:30.490318,kubernetes,2,10,100,6,6.390112400054932,1000,156.49177000257518,6.390112400054932
Go,2025-07-01T23:11:36.840927,kubernetes,2,10,100,7,6.350608587265015,1000,157.46522341265327,6.350608587265015
Go,2025-07-01T23:11:43.199662,kubernetes,2,10,100,8,6.358734846115112,1000,157.26398791592214,6.358734846115112
Go,2025-07-01T23:11:49.579752,kubernetes,2,10,100,9,6.3800904750823975,1000,156.73758920904413,6.3800904750823975
Go,2025-07-01T23:11:55.939129,kubernetes,2,10,100,10,6.359376668930054,1000,157.24811598056309,6.359376668930054
Go,2025-07-01T23:12:25.968572,kubernetes,2,10,500,1,30.027445793151855,5000,166.51432940527744,6.005489158630371
Go,2025-07-01T23:12:55.996015,kubernetes,2,10,500,2,30.02644681930542,5000,166.51986930352558,6.005289363861084
Go,2025-07-01T23:13:26.020526,kubernetes,2,10,500,3,30.024511575698853,5000,166.53060241775538,6.004902315139771
Go,2025-07-01T23:13:56.039678,kubernetes,2,10,500,4,30.01915216445923,5000,166.5603336365936,6.003830432891846
Go,2025-07-01T23:14:26.057401,kubernetes,2,10,500,5,30.016722202301025,5000,166.5738172976365,6.003344440460205
Go,2025-07-01T23:14:56.071319,kubernetes,2,10,500,6,30.013917684555054,5000,166.58938205101308,6.002783536911011
Go,2025-07-01T23:15:26.087249,kubernetes,2,10,500,7,30.015929698944092,5000,166.57821530598437,6.0031859397888185
Go,2025-07-01T23:15:56.105927,kubernetes,2,10,500,8,30.018678665161133,5000,166.56296087418613,6.003735733032227
Go,2025-07-01T23:16:26.121337,kubernetes,2,10,500,9,30.015409469604492,5000,166.58110245216935,6.003081893920898
Go,2025-07-01T23:16:56.145191,kubernetes,2,10,500,10,30.02385425567627,5000,166.5342483153943,6.0047708511352536
Go,2025-07-01T23:17:26.178242,kubernetes,2,10,1000,1,30.031052827835083,10000,332.98865868369535,3.0031052827835083
Go,2025-07-01T23:17:56.204163,kubernetes,2,10,1000,2,30.025920629501343,10000,333.04557496813965,3.0025920629501344
Go,2025-07-01T23:18:26.228371,kubernetes,2,10,1000,3,30.02420735359192,10000,333.0645795984239,3.002420735359192
Go,2025-07-01T23:18:56.242772,kubernetes,2,10,1000,4,30.014400959014893,10000,333.1733994509885,3.001440095901489
Go,2025-07-01T23:19:26.259004,kubernetes,2,10,1000,5,30.015233516693115,10000,333.1641579412818,3.0015233516693116
Go,2025-07-01T23:19:56.280935,kubernetes,2,10,1000,6,30.021931648254395,10000,333.0898263696981,3.0021931648254396
Go,2025-07-01T23:20:26.303305,kubernetes,2,10,1000,7,30.021369695663452,10000,333.09606128478833,3.002136969566345
Go,2025-07-01T23:20:56.325726,kubernetes,2,10,1000,8,30.022420406341553,10000,333.08440374406746,3.0022420406341555
Go,2025-07-01T23:21:26.349155,kubernetes,2,10,1000,9,30.02342963218689,10000,333.07320724210035,3.002342963218689
Go,2025-07-01T23:21:56.374002,kubernetes,2,10,1000,10,30.02484679222107,10000,333.0574863279846,3.002484679222107
Go,2025-07-01T23:22:26.399234,kubernetes,2,10,10000,1,30.023231267929077,100000,3330.754078653098,0.3002323126792908
Go,2025-07-01T23:22:56.414614,kubernetes,2,10,10000,2,30.01438069343567,100000,3331.736244082178,0.3001438069343567
Go,2025-07-01T23:23:26.433118,kubernetes,2,10,10000,3,30.01850390434265,100000,3331.2786113079214,0.3001850390434265
Go,2025-07-01T23:23:56.456547,kubernetes,2,10,10000,4,30.023428678512573,100000,3330.7321782195004,0.30023428678512576
Go,2025-07-01T23:24:26.481485,kubernetes,2,10,10000,5,30.024938106536865,100000,3330.5647340611354,0.30024938106536864
Go,2025-07-01T23:24:56.509604,kubernetes,2,10,10000,6,30.02811908721924,100000,3330.211916022494,0.3002811908721924
Go,2025-07-01T23:25:26.535309,kubernetes,2,10,10000,7,30.02470564842224,100000,3330.590520052438,0.3002470564842224
Go,2025-07-01T23:25:56.563195,kubernetes,2,10,10000,8,30.027885675430298,100000,3330.2378023179617,0.300278856754303
Go,2025-07-01T23:26:26.583796,kubernetes,2,10,10000,9,30.020069122314453,100000,3331.104921596207,0.3002006912231445
Go,2025-07-01T23:26:56.603885,kubernetes,2,10,10000,10,30.020089149475098,100000,3331.102699331874,0.300200891494751
Go,2025-07-01T23:26:56.692776,kubernetes,2,20,1,1,0.08689045906066895,20,230.17486863587098,4.344522953033447
Go,2025-07-01T23:26:56.777258,kubernetes,2,20,1,2,0.08448195457458496,20,236.7369469694618,4.224097728729248
Go,2025-07-01T23:26:56.866189,kubernetes,2,20,1,3,0.08893108367919922,20,224.89324511265295,4.446554183959961
Go,2025-07-01T23:26:56.952879,kubernetes,2,20,1,4,0.08668994903564453,20,230.70725294551215,4.334497451782227
Go,2025-07-01T23:26:57.046615,kubernetes,2,20,1,5,0.09273457527160645,20,215.66928992150804,4.636728763580322
Go,2025-07-01T23:26:57.142825,kubernetes,2,20,1,6,0.09568619728088379,20,209.01656214104355,4.7843098640441895
Go,2025-07-01T23:26:57.234171,kubernetes,2,20,1,7,0.09030675888061523,20,221.4673657642816,4.515337944030762
Go,2025-07-01T23:26:57.324372,kubernetes,2,20,1,8,0.09020161628723145,20,221.72551693878145,4.510080814361572
Go,2025-07-01T23:26:57.413170,kubernetes,2,20,1,9,0.08879733085632324,20,225.2319952314851,4.439866542816162
Go,2025-07-01T23:26:57.503919,kubernetes,2,20,1,10,0.09074878692626953,20,220.38862091070547,4.537439346313477
Go,2025-07-01T23:26:58.171946,kubernetes,2,20,10,1,0.6659409999847412,200,300.326905843885,3.329704999923706
Go,2025-07-01T23:26:58.821428,kubernetes,2,20,10,2,0.6494815349578857,200,307.9379308496716,3.2474076747894287
Go,2025-07-01T23:26:59.481503,kubernetes,2,20,10,3,0.6600747108459473,200,302.99600441241165,3.3003735542297363
Go,2025-07-01T23:27:00.141433,kubernetes,2,20,10,4,0.659930944442749,200,303.062012297183,3.299654722213745
Go,2025-07-01T23:27:00.801381,kubernetes,2,20,10,5,0.6589486598968506,200,303.5137821379093,3.294743299484253
Go,2025-07-01T23:27:01.461396,kubernetes,2,20,10,6,0.660015344619751,200,303.0232579141388,3.300076723098755
Go,2025-07-01T23:27:02.112869,kubernetes,2,20,10,7,0.6504719257354736,200,307.46907297169605,3.252359628677368
Go,2025-07-01T23:27:02.761181,kubernetes,2,20,10,8,0.6483118534088135,200,308.49351118355025,3.2415592670440674
Go,2025-07-01T23:27:03.432414,kubernetes,2,20,10,9,0.6712327003479004,200,297.9592619613732,3.356163501739502
Go,2025-07-01T23:27:04.081317,kubernetes,2,20,10,10,0.6489031314849854,200,308.21241306434916,3.2445156574249268
Go,2025-07-01T23:27:10.551237,kubernetes,2,20,100,1,6.467919111251831,2000,309.2184620121062,3.2339595556259155
Go,2025-07-01T23:27:16.920846,kubernetes,2,20,100,2,6.369609355926514,2000,313.9909982296054,3.184804677963257
Go,2025-07-01T23:27:23.370565,kubernetes,2,20,100,3,6.448718070983887,2000,310.13915912978626,3.2243590354919434
Go,2025-07-01T23:27:29.790185,kubernetes,2,20,100,4,6.419620037078857,2000,311.5449183048639,3.2098100185394287
Go,2025-07-01T23:27:36.199926,kubernetes,2,20,100,5,6.409740686416626,2000,312.02510333036616,3.204870343208313
Go,2025-07-01T23:27:42.569615,kubernetes,2,20,100,6,6.36968994140625,2000,313.98702580465886,3.184844970703125
Go,2025-07-01T23:27:48.979383,kubernetes,2,20,100,7,6.409767389297485,2000,312.0238034440126,3.2048836946487427
Go,2025-07-01T23:27:55.379076,kubernetes,2,20,100,8,6.39969277381897,2000,312.5150019985279,3.199846386909485
Go,2025-07-01T23:28:01.828912,kubernetes,2,20,100,9,6.449836015701294,2000,310.0854029670302,3.224918007850647
Go,2025-07-01T23:28:08.259011,kubernetes,2,20,100,10,6.430099010467529,2000,311.03720125369904,3.2150495052337646
Go,2025-07-01T23:28:38.301635,kubernetes,2,20,500,1,30.039616584777832,10000,332.8937295780055,3.0039616584777833
Go,2025-07-01T23:29:08.337279,kubernetes,2,20,500,2,30.035110473632812,10000,332.9436729982661,3.0035110473632813
Go,2025-07-01T23:29:38.365754,kubernetes,2,20,500,3,30.027475833892822,10000,333.0283256347751,3.002747583389282
Go,2025-07-01T23:30:08.397571,kubernetes,2,20,500,4,30.031816959381104,10000,332.9801860981401,3.0031816959381104
Go,2025-07-01T23:30:38.434467,kubernetes,2,20,500,5,30.036896228790283,10000,332.9238788132519,3.0036896228790284
Go,2025-07-01T23:31:08.473749,kubernetes,2,20,500,6,30.03928256034851,10000,332.8974312189426,3.0039282560348513
Go,2025-07-01T23:31:38.506998,kubernetes,2,20,500,7,30.03225016593933,10000,332.97538295486646,3.003225016593933
Go,2025-07-01T23:32:08.541961,kubernetes,2,20,500,8,30.03395962715149,10000,332.95643079175403,3.0033959627151487
Go,2025-07-01T23:32:38.580278,kubernetes,2,20,500,9,30.038317680358887,10000,332.90812442997384,3.0038317680358886
Go,2025-07-01T23:33:08.619875,kubernetes,2,20,500,10,30.03859543800354,10000,332.9050461310328,3.003859543800354
Go,2025-07-01T23:33:38.659274,kubernetes,2,20,1000,1,30.037399768829346,20000,665.836595508329,1.5018699884414672
Go,2025-07-01T23:34:08.694159,kubernetes,2,20,1000,2,30.03488564491272,20000,665.8923305535402,1.501744282245636
Go,2025-07-01T23:34:38.728690,kubernetes,2,20,1000,3,30.03453016281128,20000,665.9002119088907,1.501726508140564
Go,2025-07-01T23:35:08.764399,kubernetes,2,20,1000,4,30.035709381103516,20000,665.8740683042658,1.5017854690551757
Go,2025-07-01T23:35:38.805699,kubernetes,2,20,1000,5,30.041300058364868,20000,665.7501493325382,1.5020650029182434
Go,2025-07-01T23:36:08.843444,kubernetes,2,20,1000,6,30.036744832992554,20000,665.8511137342642,1.5018372416496277
Go,2025-07-01T23:36:38.881724,kubernetes,2,20,1000,7,30.03827953338623,20000,665.8170944101801,1.5019139766693115
Go,2025-07-01T23:37:08.924936,kubernetes,2,20,1000,8,30.042213201522827,20000,665.7299136332009,1.5021106600761414
Go,2025-07-01T23:37:38.962099,kubernetes,2,20,1000,9,30.037163019180298,20000,665.8418435598913,1.501858150959015
Go,2025-07-01T23:38:08.996634,kubernetes,2,20,1000,10,30.033532857894897,20000,665.9223240446257,1.5016766428947448
Go,2025-07-01T23:38:39.040061,kubernetes,2,20,10000,1,30.039427757263184,200000,6657.916442887043,0.1501971387863159
Go,2025-07-01T23:39:09.068824,kubernetes,2,20,10000,2,30.02876305580139,200000,6660.280998865889,0.15014381527900697
Go,2025-07-01T23:39:39.097174,kubernetes,2,20,10000,3,30.027350425720215,200000,6660.594330317206,0.1501367521286011
Go,2025-07-01T23:40:09.137427,kubernetes,2,20,10000,4,30.03825306892395,200000,6658.176810119156,0.15019126534461974
Go,2025-07-01T23:40:39.173863,kubernetes,2,20,10000,5,30.036435842514038,200000,6658.579634702094,0.15018217921257018
Go,2025-07-01T23:41:09.210821,kubernetes,2,20,10000,6,30.03695821762085,200000,6658.463834819074,0.15018479108810426
Go,2025-07-01T23:41:39.253096,kubernetes,2,20,10000,7,30.042275190353394,200000,6657.285399749624,0.15021137595176698
Go,2025-07-01T23:42:09.289936,kubernetes,2,20,10000,8,30.035831451416016,200000,6658.713620880009,0.1501791572570801
Go,2025-07-01T23:42:39.329496,kubernetes,2,20,10000,9,30.039560556411743,200000,6657.887009512572,0.15019780278205871
Go,2025-07-01T23:43:09.366689,kubernetes,2,20,10000,10,30.037192583084106,200000,6658.4118820955655,0.15018596291542052
Go,2025-07-01T23:43:09.490621,kubernetes,2,30,1,1,0.12092947959899902,30,248.07846771093125,4.030982653299968
Go,2025-07-01T23:43:09.613283,kubernetes,2,30,1,2,0.12266182899475098,30,244.5748628229225,4.088727633158366
Go,2025-07-01T23:43:09.731412,kubernetes,2,30,1,3,0.11812973022460938,30,253.95808441243904,3.937657674153646
Go,2025-07-01T23:43:09.853412,kubernetes,2,30,1,4,0.12100028991699219,30,247.9332902473242,4.033342997233073
