,,,Tempo Médio (s),Tempo Médio (s),Tempo Médio (s),Tempo Médio (s),Throughput (req/s),Throughput (req/s),Throughput (req/s),Throughput (req/s),Sucessos,Erros
,,,mean,std,min,max,mean,std,min,max,sum,sum
Servidores,Clientes,Mensagens,,,,,,,,,,
2,10,1,0.169,,0.169,0.169,59.32,,59.32,59.32,10,0
2,10,10,0.199,,0.199,0.199,501.54,,501.54,501.54,10,0
2,10,100,1.174,,1.174,1.174,852.07,,852.07,852.07,10,0
2,20,1,0.225,,0.225,0.225,88.87,,88.87,88.87,20,0
2,20,10,0.274,,0.274,0.274,730.79,,730.79,730.79,20,0
2,20,100,1.297,,1.297,1.297,1541.78,,1541.78,1541.78,20,0
2,30,1,0.295,,0.295,0.295,101.68,,101.68,101.68,30,0
2,30,10,0.34,,0.34,0.34,882.26,,882.26,882.26,30,0
2,30,100,1.34,,1.34,1.34,2239.01,,2239.01,2239.01,30,0
2,40,1,0.287,,0.287,0.287,139.45,,139.45,139.45,40,0
2,40,10,0.465,,0.465,0.465,861.11,,861.11,861.11,40,0
2,40,100,1.443,,1.443,1.443,2772.73,,2772.73,2772.73,40,0
2,50,1,0.434,,0.434,0.434,115.13,,115.13,115.13,50,0
2,50,10,0.468,,0.468,0.468,1069.48,,1069.48,1069.48,50,0
2,50,100,1.468,,1.468,1.468,3405.9,,3405.9,3405.9,50,0
2,60,1,0.364,,0.364,0.364,164.95,,164.95,164.95,60,0
2,60,10,0.544,,0.544,0.544,1103.6,,1103.6,1103.6,60,0
2,60,100,1.404,,1.404,1.404,4274.51,,4274.51,4274.51,60,0
2,70,1,0.447,,0.447,0.447,156.6,,156.6,156.6,70,0
2,70,10,0.591,,0.591,0.591,1184.26,,1184.26,1184.26,70,0
2,70,100,1.414,,1.414,1.414,4950.29,,4950.29,4950.29,70,0
2,80,1,0.534,,0.534,0.534,149.7,,149.7,149.7,80,0
2,80,10,0.578,,0.578,0.578,1383.74,,1383.74,1383.74,80,0
2,80,100,1.471,,1.471,1.471,5438.56,,5438.56,5438.56,80,0
2,90,1,0.557,,0.557,0.557,161.69,,161.69,161.69,90,0
2,90,10,0.659,,0.659,0.659,1365.53,,1365.53,1365.53,90,0
2,90,100,1.495,,1.495,1.495,6019.37,,6019.37,6019.37,90,0
2,100,1,0.547,,0.547,0.547,182.92,,182.92,182.92,100,0
2,100,10,0.714,,0.714,0.714,1399.79,,1399.79,1399.79,100,0
2,100,100,1.561,,1.561,1.561,6406.89,,6406.89,6406.89,100,0
4,10,1,0.113,,0.113,0.113,88.59,,88.59,88.59,10,0
4,10,10,0.201,,0.201,0.201,498.69,,498.69,498.69,10,0
4,10,100,1.192,,1.192,1.192,838.99,,838.99,838.99,10,0
4,20,1,0.196,,0.196,0.196,101.95,,101.95,101.95,20,0
4,20,10,0.287,,0.287,0.287,697.91,,697.91,697.91,20,0
4,20,100,1.303,,1.303,1.303,1534.96,,1534.96,1534.96,20,0
4,30,1,0.255,,0.255,0.255,117.7,,117.7,117.7,30,0
4,30,10,0.367,,0.367,0.367,817.09,,817.09,817.09,30,0
4,30,100,1.379,,1.379,1.379,2175.08,,2175.08,2175.08,30,0
4,40,1,0.362,,0.362,0.362,110.53,,110.53,110.53,40,0
4,40,10,0.452,,0.452,0.452,884.83,,884.83,884.83,40,0
4,40,100,1.429,,1.429,1.429,2798.96,,2798.96,2798.96,40,0
4,50,1,0.432,,0.432,0.432,115.71,,115.71,115.71,50,0
4,50,10,0.483,,0.483,0.483,1035.59,,1035.59,1035.59,50,0
4,50,100,1.541,,1.541,1.541,3245.42,,3245.42,3245.42,50,0
4,60,1,0.51,,0.51,0.51,117.65,,117.65,117.65,60,0
4,60,10,0.568,,0.568,0.568,1057.12,,1057.12,1057.12,60,0
4,60,100,1.523,,1.523,1.523,3938.52,,3938.52,3938.52,60,0
4,70,1,0.457,,0.457,0.457,153.29,,153.29,153.29,70,0
4,70,10,0.604,,0.604,0.604,1158.35,,1158.35,1158.35,70,0
4,70,100,1.462,,1.462,1.462,4787.05,,4787.05,4787.05,70,0
4,80,1,0.49,,0.49,0.49,163.38,,163.38,163.38,80,0
4,80,10,0.676,,0.676,0.676,1183.09,,1183.09,1183.09,80,0
4,80,100,1.533,,1.533,1.533,5219.58,,5219.58,5219.58,80,0
4,90,1,0.701,,0.701,0.701,128.32,,128.32,128.32,90,0
4,90,10,0.69,,0.69,0.69,1304.78,,1304.78,1304.78,90,0
4,90,100,1.474,,1.474,1.474,6105.37,,6105.37,6105.37,90,0
4,100,1,0.563,,0.563,0.563,177.5,,177.5,177.5,100,0
4,100,10,0.702,,0.702,0.702,1424.97,,1424.97,1424.97,100,0
4,100,100,1.553,,1.553,1.553,6439.41,,6439.41,6439.41,100,0
6,10,1,0.137,,0.137,0.137,72.77,,72.77,72.77,10,0
6,10,10,0.235,,0.235,0.235,426.2,,426.2,426.2,10,0
6,10,100,1.208,,1.208,1.208,827.6,,827.6,827.6,10,0
6,20,1,0.183,,0.183,0.183,109.33,,109.33,109.33,20,0
6,20,10,0.277,,0.277,0.277,721.0,,721.0,721.0,20,0
6,20,100,1.286,,1.286,1.286,1555.49,,1555.49,1555.49,20,0
6,30,1,0.271,,0.271,0.271,110.85,,110.85,110.85,30,0
6,30,10,0.354,,0.354,0.354,846.88,,846.88,846.88,30,0
6,30,100,1.371,,1.371,1.371,2188.23,,2188.23,2188.23,30,0
6,40,1,0.323,,0.323,0.323,123.9,,123.9,123.9,40,0
6,40,10,0.392,,0.392,0.392,1019.79,,1019.79,1019.79,40,0
6,40,100,1.399,,1.399,1.399,2859.43,,2859.43,2859.43,40,0
6,50,1,0.363,,0.363,0.363,137.92,,137.92,137.92,50,0
6,50,10,0.458,,0.458,0.458,1091.52,,1091.52,1091.52,50,0
6,50,100,1.447,,1.447,1.447,3455.65,,3455.65,3455.65,50,0
6,60,1,0.468,,0.468,0.468,128.1,,128.1,128.1,60,0
6,60,10,0.65,,0.65,0.65,923.41,,923.41,923.41,60,0
6,60,100,1.555,,1.555,1.555,3858.68,,3858.68,3858.68,60,0
6,70,1,0.502,,0.502,0.502,139.44,,139.44,139.44,70,0
6,70,10,1.087,,1.087,1.087,644.0,,644.0,644.0,70,0
6,70,100,2.74,,2.74,2.74,2554.32,,2554.32,2554.32,70,0
6,80,1,0.866,,0.866,0.866,92.4,,92.4,92.4,80,0
6,80,10,0.627,,0.627,0.627,1276.34,,1276.34,1276.34,80,0
6,80,100,1.598,,1.598,1.598,5007.39,,5007.39,5007.39,80,0
6,90,1,0.709,,0.709,0.709,126.88,,126.88,126.88,90,0
6,90,10,0.69,,0.69,0.69,1304.12,,1304.12,1304.12,90,0
6,90,100,1.618,,1.618,1.618,5561.61,,5561.61,5561.61,90,0
6,100,1,0.48,,0.48,0.48,208.34,,208.34,208.34,100,0
6,100,10,0.582,,0.582,0.582,1718.04,,1718.04,1718.04,100,0
6,100,100,1.7,,1.7,1.7,5883.25,,5883.25,5883.25,100,0
8,10,1,0.115,,0.115,0.115,86.65,,86.65,86.65,10,0
8,10,10,0.207,,0.207,0.207,484.18,,484.18,484.18,10,0
8,10,100,1.197,,1.197,1.197,835.72,,835.72,835.72,10,0
8,20,1,0.203,,0.203,0.203,98.34,,98.34,98.34,20,0
8,20,10,0.289,,0.289,0.289,692.26,,692.26,692.26,20,0
8,20,100,1.305,,1.305,1.305,1532.25,,1532.25,1532.25,20,0
8,30,1,0.257,,0.257,0.257,116.92,,116.92,116.92,30,0
8,30,10,0.327,,0.327,0.327,917.32,,917.32,917.32,30,0
8,30,100,1.433,,1.433,1.433,2093.46,,2093.46,2093.46,30,0
8,40,1,0.329,,0.329,0.329,121.53,,121.53,121.53,40,0
8,40,10,0.475,,0.475,0.475,841.75,,841.75,841.75,40,0
8,40,100,1.454,,1.454,1.454,2750.24,,2750.24,2750.24,40,0
8,50,1,0.366,,0.366,0.366,136.46,,136.46,136.46,50,0
8,50,10,0.473,,0.473,0.473,1058.15,,1058.15,1058.15,50,0
8,50,100,1.597,,1.597,1.597,3131.7,,3131.7,3131.7,50,0
8,60,1,0.456,,0.456,0.456,131.64,,131.64,131.64,60,0
8,60,10,0.485,,0.485,0.485,1236.2,,1236.2,1236.2,60,0
8,60,100,1.45,,1.45,1.45,4137.52,,4137.52,4137.52,60,0
8,70,1,0.687,,0.687,0.687,101.9,,101.9,101.9,70,0
8,70,10,0.57,,0.57,0.57,1228.18,,1228.18,1228.18,70,0
8,70,100,1.449,,1.449,1.449,4830.88,,4830.88,4830.88,70,0
8,80,1,0.449,,0.449,0.449,178.36,,178.36,178.36,80,0
8,80,10,0.513,,0.513,0.513,1558.54,,1558.54,1558.54,80,0
8,80,100,1.471,,1.471,1.471,5438.32,,5438.32,5438.32,80,0
8,90,1,0.463,,0.463,0.463,194.3,,194.3,194.3,90,0
8,90,10,0.559,,0.559,0.559,1610.53,,1610.53,1610.53,90,0
8,90,100,1.505,,1.505,1.505,5979.54,,5979.54,5979.54,90,0
8,100,1,0.606,,0.606,0.606,164.9,,164.9,164.9,100,0
8,100,10,0.627,,0.627,0.627,1595.69,,1595.69,1595.69,100,0
8,100,100,1.65,,1.65,1.65,6061.61,,6061.61,6061.61,100,0
10,10,1,0.123,,0.123,0.123,81.3,,81.3,81.3,10,0
10,10,10,0.207,,0.207,0.207,482.62,,482.62,482.62,10,0
10,10,100,1.22,,1.22,1.22,819.88,,819.88,819.88,10,0
10,20,1,0.193,,0.193,0.193,103.83,,103.83,103.83,20,0
10,20,10,0.311,,0.311,0.311,642.76,,642.76,642.76,20,0
10,20,100,1.301,,1.301,1.301,1536.99,,1536.99,1536.99,20,0
10,30,1,0.372,,0.372,0.372,80.71,,80.71,80.71,30,0
10,30,10,0.362,,0.362,0.362,829.81,,829.81,829.81,30,0
10,30,100,1.404,,1.404,1.404,2137.06,,2137.06,2137.06,30,0
10,40,1,0.413,,0.413,0.413,96.82,,96.82,96.82,40,0
10,40,10,0.399,,0.399,0.399,1002.78,,1002.78,1002.78,40,0
10,40,100,1.531,,1.531,1.531,2612.37,,2612.37,2612.37,40,0
10,50,1,0.412,,0.412,0.412,121.26,,121.26,121.26,50,0
10,50,10,0.584,,0.584,0.584,855.88,,855.88,855.88,50,0
10,50,100,1.727,,1.727,1.727,2895.0,,2895.0,2895.0,50,0
10,60,1,0.631,,0.631,0.631,95.02,,95.02,95.02,60,0
10,60,10,0.552,,0.552,0.552,1087.76,,1087.76,1087.76,60,0
10,60,100,1.561,,1.561,1.561,3844.62,,3844.62,3844.62,60,0
10,70,1,0.499,,0.499,0.499,140.38,,140.38,140.38,70,0
10,70,10,0.509,,0.509,0.509,1376.52,,1376.52,1376.52,70,0
10,70,100,1.519,,1.519,1.519,4607.31,,4607.31,4607.31,70,0
10,80,1,0.577,,0.577,0.577,138.54,,138.54,138.54,80,0
10,80,10,0.606,,0.606,0.606,1321.21,,1321.21,1321.21,80,0
10,80,100,1.565,,1.565,1.565,5112.36,,5112.36,5112.36,80,0
10,90,1,0.637,,0.637,0.637,141.21,,141.21,141.21,90,0
10,90,10,1.117,,1.117,1.117,805.99,,805.99,805.99,90,0
10,90,100,2.044,,2.044,2.044,4403.59,,4403.59,4403.59,90,0
10,100,1,1.026,,1.026,1.026,97.49,,97.49,97.49,100,0
10,100,10,0.937,,0.937,0.937,1067.15,,1067.15,1067.15,100,0
10,100,100,2.135,,2.135,2.135,4684.75,,4684.75,4684.75,100,0
