cenario_id,repeticao,cliente_id,num_clientes,num_servidores,num_mensagens,tempo_inicio,tempo_fim,tempo_total_ms,status,erro,mem_mb,num_goroutine
C240,2,1,100,8,10000,2025-07-16T11:31:22.710813371-03:00,2025-07-16T11:31:23.548380257-03:00,837.57,sucesso,,0.42,35
C240,2,2,100,8,10000,2025-07-16T11:31:22.708118569-03:00,2025-07-16T11:31:23.67838591-03:00,970.27,sucesso,,0.23,35
C240,2,3,100,8,10000,2025-07-16T11:31:22.707325465-03:00,2025-07-16T11:31:23.624254881-03:00,916.93,sucesso,,0.22,35
C240,2,4,100,8,10000,2025-07-16T11:31:22.708542802-03:00,2025-07-16T11:31:24.034816278-03:00,1326.27,sucesso,,0.24,35
C240,2,5,100,8,10000,2025-07-16T11:31:22.707899784-03:00,2025-07-16T11:31:23.261455319-03:00,553.56,sucesso,,0.22,35
C240,2,6,100,8,10000,2025-07-16T11:31:22.708347178-03:00,2025-07-16T11:31:24.418073558-03:00,1709.73,sucesso,,0.23,35
C240,2,7,100,8,10000,2025-07-16T11:31:22.710121964-03:00,2025-07-16T11:31:23.747852041-03:00,1037.73,sucesso,,0.25,35
C240,2,8,100,8,10000,2025-07-16T11:31:22.71082354-03:00,2025-07-16T11:31:23.610190021-03:00,899.37,sucesso,,0.47,35
C240,2,9,100,8,10000,2025-07-16T11:31:22.713527634-03:00,2025-07-16T11:31:24.11939732-03:00,1405.87,sucesso,,0.80,35
C240,2,10,100,8,10000,2025-07-16T11:31:22.713614326-03:00,2025-07-16T11:31:23.590331514-03:00,876.72,sucesso,,0.90,35
C240,2,11,100,8,10000,2025-07-16T11:31:22.713572929-03:00,2025-07-16T11:31:24.200597994-03:00,1487.03,sucesso,,0.84,35
C240,2,12,100,8,10000,2025-07-16T11:31:22.713233907-03:00,2025-07-16T11:31:23.685798034-03:00,972.56,sucesso,,0.57,35
C240,2,13,100,8,10000,2025-07-16T11:31:22.713184354-03:00,2025-07-16T11:31:23.619117416-03:00,905.93,sucesso,,0.54,35
C240,2,14,100,8,10000,2025-07-16T11:31:22.71088807-03:00,2025-07-16T11:31:23.796893895-03:00,1086.01,sucesso,,0.52,35
C240,2,15,100,8,10000,2025-07-16T11:31:22.710789006-03:00,2025-07-16T11:31:23.55696572-03:00,846.18,sucesso,,0.32,35
C240,2,16,100,8,10000,2025-07-16T11:31:22.710800046-03:00,2025-07-16T11:31:23.699057929-03:00,988.26,sucesso,,0.34,35
C240,2,17,100,8,10000,2025-07-16T11:31:22.713593758-03:00,2025-07-16T11:31:24.468187838-03:00,1754.59,sucesso,,0.88,35
C240,2,18,100,8,10000,2025-07-16T11:31:22.715665945-03:00,2025-07-16T11:31:23.648031919-03:00,932.37,sucesso,,0.91,35
C240,2,19,100,8,10000,2025-07-16T11:31:22.713561638-03:00,2025-07-16T11:31:24.36808792-03:00,1654.53,sucesso,,0.83,35
