cenario_id,repeticao,cliente_id,num_clientes,num_servidores,num_mensagens,tempo_inicio,tempo_fim,tempo_total_ms,status,erro,mem_mb
C187,5,1,20,8,1,2025-07-16T18:07:07.888333082,2025-07-16T18:07:07.896383762,8.05,sucesso,,20.86
C187,5,2,20,8,1,2025-07-16T18:07:07.888947486,2025-07-16T18:07:07.896881580,7.93,sucesso,,20.86
C187,5,3,20,8,1,2025-07-16T18:07:07.889325380,2025-07-16T18:07:07.897019147,7.69,sucesso,,20.86
C187,5,4,20,8,1,2025-07-16T18:07:07.889657974,2025-07-16T18:07:07.896256208,6.60,sucesso,,20.86
C187,5,5,20,8,1,2025-07-16T18:07:07.889973163,2025-07-16T18:07:07.896721124,6.75,sucesso,,20.86
C187,5,6,20,8,1,2025-07-16T18:07:07.890340805,2025-07-16T18:07:07.896659135,6.32,sucesso,,20.86
C187,5,7,20,8,1,2025-07-16T18:07:07.890660285,2025-07-16T18:07:07.897081851,6.42,sucesso,,20.86
C187,5,8,20,8,1,2025-07-16T18:07:07.914511203,2025-07-16T18:07:07.921074867,6.56,sucesso,,21.12
C187,5,9,20,8,1,2025-07-16T18:07:07.914916753,2025-07-16T18:07:07.921439170,6.52,sucesso,,21.12
C187,5,10,20,8,1,2025-07-16T18:07:07.915138721,2025-07-16T18:07:07.921511411,6.37,sucesso,,21.12
C187,5,11,20,8,1,2025-07-16T18:07:07.915363073,2025-07-16T18:07:07.921658992,6.30,sucesso,,21.12
C187,5,12,20,8,1,2025-07-16T18:07:07.915591001,2025-07-16T18:07:07.921833753,6.24,sucesso,,21.12
C187,5,13,20,8,1,2025-07-16T18:07:07.915825128,2025-07-16T18:07:07.921713352,5.89,sucesso,,21.12
C187,5,14,20,8,1,2025-07-16T18:07:07.916056632,2025-07-16T18:07:07.922209739,6.15,sucesso,,21.12
C187,5,15,20,8,1,2025-07-16T18:07:07.979841232,2025-07-16T18:07:07.985433578,5.59,sucesso,,20.38
C187,5,16,20,8,1,2025-07-16T18:07:07.980240345,2025-07-16T18:07:07.985244989,5.00,sucesso,,20.38
C187,5,17,20,8,1,2025-07-16T18:07:07.980440855,2025-07-16T18:07:07.985961675,5.52,sucesso,,20.38
C187,5,18,20,8,1,2025-07-16T18:07:07.980669260,2025-07-16T18:07:07.985915422,5.25,sucesso,,20.38
C187,5,19,20,8,1,2025-07-16T18:07:07.980898857,2025-07-16T18:07:07.985799312,4.90,sucesso,,20.38
C187,5,20,20,8,1,2025-07-16T18:07:07.981127023,2025-07-16T18:07:07.985860824,4.73,sucesso,,20.38
